id	title	brand	gtin	mpn	identifier_exists	description	price	availability	quantity	condition	shipping_weight	age_group	image_link	additional_image_link	link
power-supply-crs-350-24	"Power Supply CRS-350-24"	"CLOUDRAY"		SPS61CRS35024	true	"Power Supply CRS-350-24 24V/350W"	42	in_stock	1	new	1500 g	adult	https://smartstream-electronics.uk/photos/power-supply-24-350-1.webp	https://smartstream-electronics.uk/photos/power-supply-24-350-2.webp,https://smartstream-electronics.uk/photos/power-supply-24-350-3.webp,https://smartstream-electronics.uk/photos/power-supply-24-350-4.webp,https://smartstream-electronics.uk/photos/power-supply-24-350-5.webp,https://smartstream-electronics.uk/photos/power-supply-24-350-6.webp	https://smartstream-electronics.uk/item/power-supply-crs-350-24
stepper-motor-nema-17-(40mm)	"Stepper Motor NEMA 17 (40mm)"	"CLOUDRAY"			false	"Stepper Motor NEMA 17 (40mm) 17CS04A-170E"	9.9	in_stock	3	new	290 g	adult	https://smartstream-electronics.uk/photos/stepper-motor-nema-17-40-1.webp	https://smartstream-electronics.uk/photos/stepper-motor-nema-17-40-2.webp,https://smartstream-electronics.uk/photos/stepper-motor-nema-17-40-3.webp,https://smartstream-electronics.uk/photos/stepper-motor-nema-17-40-4.webp,https://smartstream-electronics.uk/photos/stepper-motor-nema-17-40-5.webp	https://smartstream-electronics.uk/item/stepper-motor-nema-17-(40mm)
digital-multimeter-aneng-q1-red-pro	"Digital Multimeter ANENG Q1 Red Pro"	"ANENG"			false	"Digital Multimeter ANENG Q1 Red Pro"	34.9	in_stock	1	new	300 g	adult	https://smartstream-electronics.uk/photos/digital-multimeter-9999-aneng-q1-1.webp	https://smartstream-electronics.uk/photos/digital-multimeter-9999-aneng-q1-2.webp,https://smartstream-electronics.uk/photos/digital-multimeter-9999-aneng-q1-3.webp,https://smartstream-electronics.uk/photos/digital-multimeter-9999-aneng-q1-4.webp	https://smartstream-electronics.uk/item/digital-multimeter-aneng-q1-red-pro
ams1117-3-3v	"AMS1117 3.3V"	""			false	"AMS1117 - 5V to 3.3V Voltage Regulator"	0.2	in_stock	9	new	1 g	adult	https://smartstream-electronics.uk/photos/AMS1117-3.3V-1.webp	https://smartstream-electronics.uk/photos/AMS1117-3.3V-2.webp	https://smartstream-electronics.uk/item/ams1117-3-3v
hlk-pm01	"HLK-PM01"	"Shenzhen Hi-Link Electronic Co., Ltd"			false	"HLK-PM01 - power supply 5V at 600mA (3W)"	3	in_stock	3	new	55 g	adult	https://smartstream-electronics.uk/photos/HLK-PM01-1.webp	https://smartstream-electronics.uk/photos/HLK-PM01-2.webp	https://smartstream-electronics.uk/item/hlk-pm01
ac-ct-0-100a-1:1000	"AC-CT 0-100A 1:1000"	""			false	"Transformer for measuring alternating current"	1.2	in_stock	10	new	15 g	adult	https://smartstream-electronics.uk/photos/AC-CT-0-100A-1.webp	https://smartstream-electronics.uk/photos/AC-CT-0-100A-2.webp	https://smartstream-electronics.uk/item/ac-ct-0-100a-1:1000
74hc4051-(module)	"74HC4051 (Module)"	""			false	"74HC4051 - 8-channel analog multiplexer/demultiplexer"	0.8	in_stock	9	new	10 g	adult	https://smartstream-electronics.uk/photos/74HC4051-1.webp	https://smartstream-electronics.uk/photos/74HC4051-2.webp,https://smartstream-electronics.uk/photos/74HC4051-3.webp,https://smartstream-electronics.uk/photos/74HC4051-4.webp	https://smartstream-electronics.uk/item/74hc4051-(module)
pci-e-riser-009s-usb-3-0	"PCI-E Riser 009S USB 3.0"	""			false	"New generation PCI-E riser 009S USB 3.0 for mining"	5	in_stock	6	new	250 g	adult	https://smartstream-electronics.uk/photos/PCI-E-raiser-009S-1.webp	https://smartstream-electronics.uk/photos/PCI-E-raiser-009S-2.webp,https://smartstream-electronics.uk/photos/PCI-E-raiser-009S-3.webp,https://smartstream-electronics.uk/photos/PCI-E-raiser-009S-4.webp,https://smartstream-electronics.uk/photos/PCI-E-raiser-009S-5.webp	https://smartstream-electronics.uk/item/pci-e-riser-009s-usb-3-0
pm2-5-pms5003-dust-sensor	"PM2.5/PMS5003 Dust Sensor"	""			false	"PMS5003 - air particle concentration sensor"	14	in_stock	1	new	55 g	adult	https://smartstream-electronics.uk/photos/PM2.5-1.webp	https://smartstream-electronics.uk/photos/PM2.5-2.webp,https://smartstream-electronics.uk/photos/PM2.5-3.webp	https://smartstream-electronics.uk/item/pm2-5-pms5003-dust-sensor
jumper-wire-set	"Jumper Wire Set"	""			false	"Set of 140 jumper wires for breadboard prototyping"	3	in_stock	10	new	50 g	adult	https://smartstream-electronics.uk/photos/breadboard-jumpers-140-1.webp	https://smartstream-electronics.uk/photos/breadboard-jumpers-140-2.webp	https://smartstream-electronics.uk/item/jumper-wire-set
